Recording,Task,Participant,AOI,AOI_No,Duration_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
p108_2,2,p108,stack trace,AOI_5,1010390,[Ctrl] + c,14087,371,75,4058,38,930637,258,chat,4.77547,13046,395,100,4058,33,930637,258,4.76209,18200,1655,183,9542,11,930637,258,18717,1702,258,9592,11,930587,308,6,931399,762,6,931399,762,22,930587,930895,178.49,260.23,,,,,,,,,,,,,
p109_1,1,p109,code pane,AOI_2,1023470,[Ctrl] + LeftControl,498965,410,67,7008,1218,173319,112,copilot,4.52176,476106,407,67,7008,1171,173523,133,4.51694,625177,10779,75,83133,58,173319,1204,627240,10814,92,83208,58,173319,1204,190,201348,28030,189,201348,28030,1071,179398,174539,247.05,104.41,,,,,,,,,,,,,
p109_1,1,p109,copilot,AOI_3,1023470,[Ctrl] + LeftControl,122213,389,67,2525,314,255448,300,copilot,4.51438,113992,381,67,2525,299,255448,300,4.51226,139471,2906,67,30250,48,255448,958,140850,2934,67,30250,48,255381,1025,25,360659,105212,24,360659,105212,243,255381,256406,483.22,432.42,,,,,,,,,,,,,
p109_1,1,p109,project structure,AOI_4,1023470,[Ctrl] + LeftControl,7129,792,200,1825,9,174606,475,copilot,4.62909,4921,703,200,1296,7,174606,475,4.66795,7583,2528,517,4775,3,174606,4775,7667,2556,600,4775,3,174606,4775,2,188660,14054,2,188660,14054,5,174539,179398,104.41,247.05,,,,,,,,,,,,,
p109_1,1,p109,stack trace,AOI_5,1023470,[Ctrl] + LeftControl,6696,515,142,1258,13,339681,217,copilot,4.40612,6696,515,142,1258,13,339681,217,4.40612,7050,1007,217,4375,7,339681,217,7200,1029,225,4417,7,339672,225,1,832760,493079,1,832760,493079,6,341464,566114,63.15,63.68,,,,,,,,,,,,,
p109_2,2,p109,chat,AOI_1,1016930,Escape,318852.5,422,67,6491.5,769,264849.5,164.5,chat,4.73359,304644.5,418.5,67,6491.5,740.5,264951.5,175,4.727385,391404,6515.5,83.5,51550,64,264849.5,1089.5,394273,6559,92,51587.5,64,264832.5,1106,104,279147.5,14298.5,103,279147.5,14298.5,650.5,269009.5,268372,376.61,259.475,,,,,,,,,,,,,
p109_2,2,p109,code pane,AOI_2,1016930,Escape,267853.5,364,67,3158.5,766.5,271821,201.5,chat,4.63147,247625,357,67,2729,721.5,271876.5,237.5,4.62472,311563.5,4366.5,71,65800,65.5,271821,34497,314055,4402.5,71,65850,65.5,271787.5,34530.5,154,353863,82042.5,153,353863,82042.5,642.5,308793,307513.5,448.88,469.295,,,,,,,,,,,,,
p109_2,2,p109,project structure,AOI_4,1016930,Escape,5193.5,544,162.5,1158.5,10,381530,421,chat,4.69084,4089.5,499.5,162.5,894,9,381530,421,4.71027,5550,1557,350,3083.5,4.5,381530,2741.5,5746,1597,396,3104,4.5,381505,2766.5,1,94330,7027,1,94330,7027,5,381471.5,384280.5,153.945,292.955,,,,,,,,,,,,,
p109_2,2,p109,stack trace,AOI_5,1016930,Escape,10391.5,443,108.5,2658,25.5,635159,237.5,chat,4.590795,9871,455,121,2658,23,635159,237.5,4.584105,12625,1331,200,6958.5,9,635159,237.5,12958.5,1365.5,241.5,7004.5,9,635129.5,266.5,3.5,882079.5,246920.5,3.5,882079.5,246920.5,14,636025.5,748504.5,120.82,161.955,,,,,,,,,,,,,
p110_2,2,p110,chat,AOI_1,1013681,Backspace,136552,373,67,2525,366,391580,125,chat,4.79917,108442,341,67,2525,318,391580,125,4.77925,186202,3800,100,27142,49,391580,542,188165,3840,183,27175,49,391572,550,7,392130,550,7,392130,550,236,395072,392122,249.99,526.71,,,,,,,,,,,,,
p110_2,2,p110,code pane,AOI_2,1013681,Backspace,404093,350,64,2783,1156,217566,64,chat,4.84211,338034,337,67,2517,1004,217655,133,4.83633,556639,12945,83,134008,43,217566,14139,558239,12982,92,134008,43,217566,14139,64,232555,14989,64,232555,14989,888,231947,231722,41.23,131.91,,,,,,,,,,,,,
p110_2,2,p110,stack trace,AOI_5,1013681,Backspace,92,92,92,92,1,394980,92,chat,4.85149,92,92,92,92,1,394980,92,4.85149,92,92,92,92,1,394980,92,108,108,108,108,1,394963,108,0,,,0,,,0,,395072,,249.99,,,,,,,,,,,,,
p111_1,1,p111,code pane,AOI_2,1007574,[Ctrl] + c,308733,228,62,3008,1357,200677,444,project structure,4.66422,183923,230,67,2967,799,201421,142,4.62445,490810,7113,67,74000,69,200677,2019,492119,7132,67,74000,69,200677,2019,97,208344,7667,94,208344,7667,617,244971,209596,341.47,677.09,,,,,,,,,,,,,
p111_1,1,p111,copilot,AOI_3,1007574,[Ctrl] + c,159316,282,62,2292,565,203996,208,project structure,4.64707,123078,262,67,2292,469,203996,208,4.63443,197732,3662,192,17266,54,203996,2367,199065,3686,208,17316,54,203954,2408,36,204464,468,33,204464,468,306,209596,244971,677.09,341.47,,,,,,,,,,,,,
p111_1,1,p111,project structure,AOI_4,1007574,[Ctrl] + c,3456,203,75,600,17,343245,142,project structure,4.87758,1342,192,83,408,7,343245,142,4.93361,3872,387,83,1742,10,343245,317,4022,402,106,1767,10,343187,375,0,,,0,,,2,343187,344170,499.75,672,,,,,,,,,,,,,
p111_1,1,p111,stack trace,AOI_5,1007574,[Ctrl] + c,24625,218,67,583,113,267196,225,project structure,4.94939,21158,218,67,583,97,267196,225,4.95902,29179,1122,108,4692,26,267196,225,29691,1142,125,4783,26,267179,242,6,363254,96059,6,363254,96059,70,351678,351295,221.38,343.08,,,,,,,,,,,,,
p111_2,2,p111,chat,AOI_1,1023712,Backspace,132617,336,67,4900,395,357759,183,chat,4.64834,126366,328,67,4900,385,357759,183,4.6449,153505,2843,100,23008,54,357759,2317,156209,2893,100,23033,54,357709,2367,13,399778,42019,13,399778,42019,319,357709,360076,511.45,497.12,,,,,,,,,,,,,
p111_2,2,p111,code pane,AOI_2,1023712,Backspace,392751,329,67,2692,1192,356342,167,chat,4.5555,375801,327,67,2692,1148,356342,167,4.54392,466013,9138,167,116866,51,356342,1367,468375,9184,250,116924,51,356342,1367,90,374443,18100,89,374443,18100,1043,360076,357709,497.12,511.45,,,,,,,,,,,,,
p111_2,2,p111,stack trace,AOI_5,1023712,Backspace,3479,205,67,417,17,440334,150,chat,4.67272,3479,205,67,417,17,440334,150,4.67272,3975,568,158,842,7,440334,642,4217,602,158,842,7,440267,708,0,,,0,,,10,440267,440975,685.55,552.78,,,,,,,,,,,,,
p112_1,1,p112,code pane,AOI_2,829085,Escape,403464,283,67,4342,1428,59312,433,code pane,4.75324,380952,279,67,4342,1364,59312,433,4.7513,543496,13936,83,133933,39,59312,708,544888,13971,175,133983,39,59287,733,65,69925,10613,65,69925,10613,1122,62187,61654,133.59,552.75,,,,,,,,,,,,,
p112_1,1,p112,copilot,AOI_3,829085,Escape,81216,366,75,6358,222,72387,300,code pane,4.7632,79108,363,75,6358,218,72387,300,4.76145,94241,4712,100,26092,20,72387,1258,94958,4748,167,26141,20,72320,1325,10,295563,223176,9,295563,223176,175,72320,77587,541.58,510.34,,,,,,,,,,,,,
p112_1,1,p112,project structure,AOI_4,829085,Escape,28533,396,67,3000,72,61720,75,code pane,4.77748,28433,400,67,3000,71,61720,75,4.77824,31991,2908,75,13092,11,61720,75,32300,2936,75,13133,11,61654,142,13,463769,402048,13,463769,402048,52,61654,61795,552.75,48.08,,,,,,,,,,,,,
p112_1,1,p112,stack trace,AOI_5,829085,Escape,13171,321,75,1746,41,60104,342,code pane,4.7881,13171,321,75,1746,41,60104,342,4.7881,15150,1010,75,4000,15,60104,342,15608,1041,75,4000,15,60087,358,3,572351,512248,3,572351,512248,19,332852,63537,34.64,152.85,,,,,,,,,,,,,
p114_2,2,p114,chat,AOI_1,1013862,[Ctrl] + c,6829,175,67,554,39,768819,200,project structure,5.50884,3308,165,67,325,20,861718,75,5.51434,36975,3081,150,17883,12,768819,200,37333,3111,183,17900,12,768819,200,2,861768,92949,2,861768,92949,5,915968,,376.85,,,,,,,,,,,,,,
p114_2,2,p114,code pane,AOI_2,1013862,[Ctrl] + c,83091,153,67,983,542,685219,75,project structure,5.49296,72404,152,67,983,476,685327,83,5.48834,210016,14001,133,75350,15,685219,21241,210299,14020,133,75350,15,685219,21241,87,687673,2454,86,687673,2454,149,707561,915968,726.46,376.85,,,,,,,,,,,,,
p114_2,2,p114,project structure,AOI_4,1013862,[Ctrl] + c,7,7,7,7,1,1012476,7,project structure,5.22161,0,,,,0,,,,7,7,7,7,1,1012476,7,15,15,15,15,1,1012468,15,0,,,0,,,0,,,,,,,,,,,,,,,,,
p114_2,2,p114,stack trace,AOI_5,1013862,[Ctrl] + c,2262,151,67,367,15,966810,317,project structure,5.57551,675,135,92,183,5,970918,133,5.55556,6567,2189,958,4600,3,966810,4600,6567,2189,958,4600,3,966810,4600,4,967119,309,4,967119,309,5,972876,,261.5,,,,,,,,,,,,,,
p115_1,1,p115,code pane,AOI_2,773836,[Ctrl] + c,313107,269,67,2442,1166,191223,122,stack trace,5.25947,304240,267,67,2442,1140,191428,108,5.25701,387564,8246,275,104224,47,191223,15971,389281,8283,333,104333,47,191223,15971,114,206982,15759,114,206982,15759,1040,311086,207220,504.97,351.78,,,,,,,,,,,,,
p115_1,1,p115,copilot,AOI_3,773836,[Ctrl] + c,95399,360,67,6225,265,207303,142,stack trace,5.25425,93299,363,67,6225,257,207303,142,5.25341,133008,3595,217,48466,37,207303,1075,134491,3635,267,48466,37,207303,1075,30,248814,41511,30,248814,41511,213,207220,208395,351.78,59.77,,,,,,,,,,,,,
p115_1,1,p115,stack trace,AOI_5,773836,[Ctrl] + c,12657,218,75,592,58,342781,383,stack trace,5.2731,12500,219,75,592,57,342781,383,5.27017,14981,936,125,3367,16,342781,1350,15523,970,133,3383,16,342747,1383,6,334637,216886,5,334637,216886,38,344756,344131,44.3,447.64,,,,,,,,,,,,,
p115_2,2,p115,chat,AOI_1,303392,Return,18625,239,67,1033,78,128195,1033,stack trace,5.48055,18517,240,67,1033,77,128195,1033,5.48238,21800,1677,67,8992,13,128195,2067,22433,1726,117,9125,13,128187,2075,5,128727,532,5,128727,532,56,141437,130262,515.24,399.52,,,,,,,,,,,,,
p115_2,2,p115,code pane,AOI_2,303392,Return,74244,296,67,1783,251,125310,169,stack trace,5.45345,71692,300,67,1783,239,125504,175,5.44838,127288,9791,108,56919,13,125310,2711,127788,9830,108,57011,13,125310,2711,58,126317,1008,57,126317,1008,214,141720,141437,635.18,515.24,,,,,,,,,,,,,
p115_2,2,p115,project structure,AOI_4,303392,Return,608,203,142,275,3,293514,142,stack trace,5.56168,608,203,142,275,3,293514,142,5.56168,608,203,142,275,3,293514,142,758,253,192,333,3,293464,192,0,,,0,,,0,293464,293655,311.48,131.5,,,,,,,,,,,,,
p115_2,2,p115,stack trace,AOI_5,303392,Return,789,197,6,400,4,300339,192,stack trace,5.52267,783,261,192,400,3,300339,192,5.52281,847,424,6,842,2,300339,842,914,457,22,892,2,300289,892,0,,,0,,,2,300289,301180,363.29,284.77,,,,,,,,,,,,,
p116_1,1,p116,code pane,AOI_2,1154493,[Alt] + C,457715,390,67,3958,1175,198937,133,code pane,5.4118,435965,391,67,3958,1114,198937,133,5.40893,599173,7884,67,205624,76,198937,1558,602140,7923,67,205666,76,198879,1617,68,206745,7808,68,206745,7808,1002,198879,200495,550.62,562.85,,,,,,,,,,,,,
p116_1,1,p116,copilot,AOI_3,1154493,[Alt] + C,142987,375,67,3092,381,509378,167,code pane,5.53371,140912,378,67,3092,373,509378,167,5.53187,203882,4248,167,34741,48,509378,717,205774,4287,217,34741,48,509378,717,25,509903,525,25,509903,525,312,511478,511936,55.16,309.72,,,,,,,,,,,,,
p116_1,1,p116,project structure,AOI_4,1154493,[Alt] + C,3533,393,125,975,9,202812,158,code pane,5.20835,3533,393,125,975,9,202812,158,5.20835,3675,919,500,1292,4,202812,500,3833,958,567,1325,4,202745,567,0,,,0,,,5,202745,203312,478.8,572.12,,,,,,,,,,,,,
p116_1,1,p116,stack trace,AOI_5,1154493,[Alt] + C,27592,253,67,983,109,200987,192,code pane,5.57176,26517,248,67,983,107,200987,192,5.57085,33658,1052,108,6692,32,200987,350,34941,1092,133,6692,32,200895,442,15,587062,386075,15,587062,386075,70,200895,201337,779.15,85.33,,,,,,,,,,,,,
p116_2,2,p116,chat,AOI_1,1118547,Space,46762,264,67,1183,177,252428,417,code pane,5.58494,44596,262,67,1183,170,252428,417,5.58025,56904,1423,92,5133,40,252428,417,58496,1462,117,5167,40,252361,483,10,257632,5204,9,257632,5204,123,252361,257978,559.01,416.02,,,,,,,,,,,,,
p116_2,2,p116,code pane,AOI_2,1118547,Space,540538,336,67,7458,1607,160601,244,code pane,5.47736,514361,337,67,7458,1527,160870,292,5.47312,833457,19844,83,141524,42,160601,2277,835423,19891,100,141566,42,160601,2277,128,171041,10440,128,171041,10440,1399,169611,162878,372.74,186.32,,,,,,,,,,,,,
p116_2,2,p116,project structure,AOI_4,1118547,Space,742,371,167,575,2,168853,167,code pane,5.14675,742,371,167,575,2,168853,167,5.14675,758,758,758,758,1,168853,758,792,792,792,792,1,168820,792,0,,,0,,,1,168820,169611,180.35,372.74,,,,,,,,,,,,,
p116_2,2,p116,stack trace,AOI_5,1154493,[Alt] + C,5417,246,75,942,22,162920,292,code pane,5.63297,4842,255,100,942,19,162920,292,5.62516,7117,890,75,3325,8,162920,292,7342,918,75,3375,8,162878,333,3,999522,836603,3,999522,836603,11,162878,608750,186.32,385.31,,,,,,,,,,,,,
p117_1,1,p117,code pane,AOI_2,1066931,o,367928,392,67,3258,939,277845,308,copiilot,4.96573,347419,391,67,3258,888,278328,850,4.96418,439107,5934,83,96558,74,277845,57908,441532,5967,83,96633,74,277845,57908,95,317973,40128,95,317973,40128,779,277787,335770,45.51,110.9,,,,,,,,,,,,,
p117_1,1,p117,copiilot,AOI_3,1066931,o,132904,523,67,4233,254,335845,117,copiilot,4.98981,123675,524,67,4233,236,335845,117,4.98542,151008,2254,75,18083,67,335845,117,152637,2278,75,18192,67,335845,117,35,337797,1952,35,337797,1952,157,335770,335987,110.9,46.25,,,,,,,,,,,,,
p117_1,1,p117,project structure,AOI_4,1066931,o,892,223,83,442,4,658235,183,copiilot,4.81671,450,150,83,183,3,658235,183,4.91131,908,303,183,442,3,658235,183,1025,342,258,442,3,658160,258,0,,,0,,,1,658160,835643,342.4,200.89,,,,,,,,,,,,,
p117_1,1,p117,stack trace,AOI_5,1066931,o,20796,270,67,817,77,400845,300,copiilot,5.09094,19454,270,67,817,72,400845,300,5.08554,24492,720,67,3183,34,400845,300,25567,752,83,3208,34,400845,300,17,440188,39344,17,440188,39344,36,442594,442153,315.24,152.23,,,,,,,,,,,,,
p117_2,2,p117,chat,AOI_1,1046740,Return,91332,411,67,2875,222,371909,108,chat,4.96181,85137,411,67,2875,207,371909,108,4.95456,100190,1965,75,12717,51,371909,675,101407,1988,87,12792,51,371909,675,11,391866,19957,11,391866,19957,154,371784,372592,539.93,442.37,,,,,,,,,,,,,
p117_2,2,p117,code pane,AOI_2,1046740,Return,400979,373,67,3150,1076,247763,238,chat,4.98241,374091,374,67,3150,1000,248009,425,4.97133,526971,9245,125,52096,57,247763,8955,529162,9284,133,52137,57,247763,8955,89,254604,6841,88,254604,6841,899,372592,260301,442.37,294.25,,,,,,,,,,,,,
p117_2,2,p117,project structure,AOI_4,1046740,Return,708,354,333,375,2,1040874,333,chat,5.07414,708,354,333,375,2,1040874,333,5.07414,708,354,333,375,2,1040874,333,808,404,367,442,2,1040841,367,0,,,0,,,0,1040841,1041208,122.6,145.22,,,,,,,,,,,,,
p117_2,2,p117,stack trace,AOI_5,1046740,Return,733,367,308,425,2,512475,308,chat,5.0729,733,367,308,425,2,512475,308,5.0729,733,367,308,425,2,512475,308,767,383,308,458,2,512475,308,0,,,0,,,0,512350,512809,270.47,145.8,,,,,,,,,,,,,
p118_1,1,p118,code pane,AOI_2,1013097,[Ctrl] + LeftControl,441713,302,67,3033,1465,226787,2106,stack trace,5.02013,405960,299,67,3033,1357,229734,92,4.99459,583212,10800,125,113947,54,226787,113947,585345,10840,150,113947,54,226787,113947,99,226984,197,99,226984,197,1244,341467,467992,164.23,336.31,,,,,,,,,,,,,
p118_1,1,p118,copilot,AOI_3,1013097,[Ctrl] + LeftControl,114405,374,67,4733,306,423842,642,stack trace,5.00667,108250,376,67,4733,288,423842,642,5.0041,130217,3720,117,30292,35,423842,27563,131383,3754,117,30292,35,423817,27588,10,424663,821,9,424663,821,247,467992,470409,336.31,386.88,,,,,,,,,,,,,
p118_1,1,p118,project structure,AOI_4,1013097,[Ctrl] + LeftControl,2187,312,167,783,7,569992,783,stack trace,5.33747,2187,312,167,783,7,569992,783,5.33747,2229,446,250,783,5,569992,783,2483,497,300,833,5,569942,833,0,,,0,,,2,569942,570775,375.02,489.9,,,,,,,,,,,,,
p118_1,1,p118,stack trace,AOI_5,1013097,[Ctrl] + LeftControl,26571,253,67,1125,105,341342,125,stack trace,5.21075,25537,255,67,1125,100,341342,125,5.21064,30950,1190,125,3292,26,341342,125,31933,1228,175,3350,26,341292,175,6,481127,139784,6,481127,139784,72,482042,341467,243.55,164.23,,,,,,,,,,,,,
p118_2,2,p118,chat,AOI_1,1010422,[Ctrl] + LeftControl,46317,341,67,5600,136,336318,1362,chat,4.99685,39925,327,67,5600,122,338818,1133,4.97413,63271,2343,117,18400,27,336318,1362,64446,2387,208,18400,27,336318,1362,4,337184,866,4,337184,866,92,340626,345401,33.65,361.74,,,,,,,,,,,,,
p118_2,2,p118,code pane,AOI_2,1010422,[Ctrl] + LeftControl,519163,343,67,4383,1513,201299,103,chat,4.78,466381,332,67,2158,1405,201418,108,4.75476,714330,22323,100,134452,32,201299,134452,715388,22356,125,134452,32,201299,134452,56,201857,558,56,201857,558,1274,345401,347126,361.74,319.7,,,,,,,,,,,,,
p118_2,2,p118,project structure,AOI_4,1010422,[Ctrl] + LeftControl,292,292,292,292,1,1008090,292,chat,5.07764,292,292,292,292,1,1008090,292,5.07764,292,292,292,292,1,1008090,292,333,333,333,333,1,1008049,333,0,,,0,,,0,,,,,,,,,,,,,,,,,
p118_2,2,p118,stack trace,AOI_5,1010422,[Ctrl] + LeftControl,9954,231,83,508,43,630975,342,chat,4.85175,9367,234,83,508,40,630975,342,4.84605,12175,1217,142,4550,10,630975,342,12508,1251,192,4600,10,630942,375,3,631198,223,3,631198,223,30,630942,631317,204.22,441.44,,,,,,,,,,,,,
p119_1,1,p119,code pane,AOI_2,1014137,Backspace,409431,293,67,2025,1399,56893,200,stack trace,4.52108,345939,283,67,2025,1221,59451,292,4.52561,586993,13044,67,158491,45,56893,3208,588281,13073,67,158583,45,56893,3208,80,69398,12505,77,69398,12505,1060,64626,60101,589.91,278.72,,,,,,,,,,,,,
p119_1,1,p119,copilot,AOI_3,1014137,Backspace,170419,308,62,2625,554,74968,300,stack trace,4.41744,153170,303,62,1650,506,74968,300,4.40981,276470,6430,100,52767,43,74968,2233,277720,6459,100,52767,43,74951,2250,14,207892,132925,14,207892,132925,447,235783,77201,334.55,506.66,,,,,,,,,,,,,
p119_1,1,p119,project structure,AOI_4,1014137,Backspace,1883,377,192,592,5,60934,200,stack trace,4.26333,1883,377,192,592,5,60934,200,4.26333,1900,475,192,1192,4,60934,200,2050,512,225,1225,4,60876,258,0,,,0,,,1,60876,61134,441.13,272.22,,,,,,,,,,,,,
p119_1,1,p119,stack trace,AOI_5,1014137,Backspace,3668,216,83,646,17,55771,122,stack trace,4.32177,3446,230,83,646,15,55968,125,4.33362,3968,441,83,1192,9,55771,455,4185,465,100,1200,9,55771,455,0,,,0,,,8,61134,351925,272.22,293.96,,,,,,,,,,,,,
p119_2,2,p119,chat,AOI_1,1063338,Space,33283,262,67,908,127,680885,875,project structure,4.87815,28308,242,67,908,117,680885,875,4.8815,40825,1166,67,5892,35,680885,1333,42267,1208,92,5967,35,680802,1417,10,685679,4794,10,685679,4794,76,680802,689002,560.61,137.36,,,,,,,,,,,,,
p119_2,2,p119,code pane,AOI_2,1063338,Space,333516,296,67,2783,1126,277132,203,project structure,4.92324,311396,297,67,2783,1049,279394,75,4.91833,547027,18234,75,255895,30,277132,255895,548127,18271,83,255895,30,277132,255895,93,282521,5389,92,282521,5389,822,533677,680802,399.42,560.61,,,,,,,,,,,,,
p119_2,2,p119,project structure,AOI_4,1063338,Space,663,221,22,525,3,1047692,117,project structure,4.62462,642,321,117,525,2,1047692,117,4.62174,663,221,22,525,3,1047692,117,738,246,72,533,3,1047675,133,0,,,0,,,0,,1056675,,166.68,,,,,,,,,,,,,
p119_2,2,p119,stack trace,AOI_5,1014137,Backspace,367,367,367,367,1,1058567,367,project structure,4.72288,367,367,367,367,1,1058567,367,4.72288,367,367,367,367,1,1058567,367,375,375,375,375,1,1058559,375,0,,,0,,,0,,,,,,,,,,,,,,,,,
p120_1,1,p120,code pane,AOI_2,893261,[Ctrl] + LeftControl,387790,251,67,2217,1543,287679,87,project structure,5.1347,361903,252,67,2217,1437,287849,458,5.12519,557977,37198,200,166483,15,287679,107336,558152,37210,217,166508,15,287679,107336,219,291061,3383,216,291061,3383,1221,442748,395032,257.39,395.79,,,,,,,,,,,,,
p120_1,1,p120,copilot,AOI_3,893261,[Ctrl] + LeftControl,10258,250,75,733,41,412457,167,project structure,5.13678,9300,238,75,542,39,412457,167,5.12764,24358,8119,850,13083,3,412457,850,24383,8128,858,13083,3,412448,858,2,413076,620,2,413076,620,31,,442748,,257.39,,,,,,,,,,,,,
p120_1,1,p120,project structure,AOI_4,893261,[Ctrl] + LeftControl,9479,412,75,1621,23,458407,375,project structure,5.19766,9479,412,75,1621,23,458407,375,5.19766,10308,1718,108,7067,6,458407,7067,10433,1739,108,7067,6,458407,7067,6,465252,6845,6,465252,6845,17,458307,465490,202.79,244.25,,,,,,,,,,,,,
p120_1,1,p120,stack trace,AOI_5,893261,[Ctrl] + LeftControl,675,96,75,117,7,515181,83,project structure,5.02286,675,96,75,117,7,515181,83,5.02286,1383,346,83,958,4,515181,83,1483,371,83,1000,4,515165,100,1,518059,2878,1,518059,2878,1,803464,803714,253.18,35.16,,,,,,,,,,,,,
p120_2,2,p120,chat,AOI_1,1123765,Backspace,38933,265,67,1750,147,879807,1550,chat,5.10701,38141,265,67,1750,144,879807,1550,5.10482,48258,1341,88,3850,36,879807,1550,49212,1367,88,3850,36,879807,1550,5,881212,1405,4,881212,1405,87,927657,881373,379.24,59.1,,,,,,,,,,,,,
p120_2,2,p120,code pane,AOI_2,1123765,Backspace,437789,258,20,1983,1698,358022,20,chat,5.2328,389050,256,67,1983,1522,358883,758,5.21422,628977,12096,75,160323,52,358022,38395,631077,12136,125,160331,52,358022,38395,187,362152,4130,186,362152,4130,1193,401608,482133,505.76,495.31,,,,,,,,,,,,,
p120_2,2,p120,project structure,AOI_4,1123765,Backspace,19954,425,75,2958,47,482216,325,chat,5.25585,19954,425,75,2958,47,482216,325,5.25585,22429,2039,150,8267,11,482216,2392,22621,2056,167,8267,11,482133,2475,8,484599,2382,8,484599,2382,29,482133,518316,495.31,295.26,,,,,,,,,,,,,
p120_2,2,p120,stack trace,AOI_5,1123765,Backspace,6937,178,67,400,39,809515,183,chat,5.20507,6937,178,67,400,39,809515,183,5.20507,10729,1192,117,3983,9,809515,3983,11071,1230,175,4042,9,809457,4042,2,809940,425,2,809940,425,15,881373,813499,59.1,377.85,,,,,,,,,,,,,
p121_1,1,p121,code pane,AOI_2,1049291,[Ctrl] + c,525966,286,67,2450,1840,270969,424,copilot,6.22542,476395,287,67,2450,1660,271435,183,6.21526,675904,24139,133,101261,28,270969,51307,677004,24179,133,101261,28,270969,51307,111,275064,4095,111,275064,4095,1519,331134,329467,319.62,388.24,,,,,,,,,,,,,
p121_1,1,p121,copilot,AOI_3,1049291,[Ctrl] + c,31937,323,67,1287,99,521233,275,copilot,6.11191,31792,324,67,1287,98,521233,275,6.11255,35458,5065,408,26358,7,521233,408,35783,5112,492,26425,7,521150,492,7,587141,65908,7,587141,65908,91,521150,577216,315.38,415.95,,,,,,,,,,,,,
p121_1,1,p121,project structure,AOI_4,1049291,[Ctrl] + c,492,246,158,333,2,522050,333,copilot,5.94908,492,246,158,333,2,522050,333,5.94908,517,517,517,517,1,522050,517,567,567,567,567,1,522000,567,0,,,0,,,1,522000,522567,335.29,358.54,,,,,,,,,,,,,
p121_1,1,p121,stack trace,AOI_5,1049291,[Ctrl] + c,26142,213,67,733,123,322992,133,copilot,6.09146,22455,214,67,733,105,322992,133,6.07918,37050,1544,117,5817,24,322992,4267,37933,1581,133,5833,24,322967,4292,6,323584,591,6,323584,591,71,329467,331134,388.24,319.62,,,,,,,,,,,,,
p121_2,2,p121,chat,AOI_1,1182194,[Ctrl] + s,3458,231,67,458,15,224442,117,code pane,5.73007,3458,231,67,458,15,224442,117,5.73007,4167,1042,267,3150,4,224442,367,4467,1117,350,3225,4,224376,433,0,,,0,,,10,224376,224809,412.22,492.08,,,,,,,,,,,,,
p121_2,2,p121,code pane,AOI_2,1182194,[Ctrl] + s,646256,310,67,3042,2083,219698,153,code pane,6.23612,598851,310,67,3042,1933,219901,350,6.23108,911367,47967,67,325291,19,219698,2745,912283,48015,125,325374,19,219698,2745,113,231657,11960,112,231657,11960,1738,223167,223467,363.97,411.2,,,,,,,,,,,,,
p121_2,2,p121,project structure,AOI_4,1182194,[Ctrl] + s,1783,297,125,558,6,223534,558,code pane,5.95086,1783,297,125,558,6,223534,558,5.95086,1792,358,125,717,5,223534,558,2067,413,183,767,5,223467,625,0,,,0,,,1,223467,224092,411.2,491.52,,,,,,,,,,,,,
p121_2,2,p121,stack trace,AOI_5,1182194,[Ctrl] + s,13767,212,67,675,65,222534,75,code pane,6.14118,12983,213,67,675,61,222534,75,6.14013,16491,1499,167,9116,11,222534,633,17050,1550,183,9175,11,222509,658,3,919748,697214,3,919748,697214,40,224809,223167,492.08,363.97,,,,,,,,,,,,,
p122_1,1,p122,code pane,AOI_2,1102446,o,319007,382,67,3758,836,438867,292,code pane,4.87842,267640,385,67,3758,696,438867,292,4.8786,489236,20385,92,112392,24,438867,7858,489861,20411,92,112392,24,438867,7858,78,506625,67758,78,506625,67758,578,438784,446734,245.61,230.92,,,,,,,,,,,,,
