Recording,Task,Participant,AOI,AOI_No,Duration_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
p101_2,2,p101,stack trace,AOI_5,1104028,LeftControl,2275,325,83,733,7,473128,225,code pane,5.31341,2275,325,83,733,7,473128,225,5.31341,2317,579,117,1508,4,473128,225,2442,610,142,1533,4,473103,250,0,,,0,,,3,473103,473353,122.55,70.74,,,,,,,,,,,,,
p102_1,1,p102,code pane,AOI_2,1056979,[Ctrl] + LeftControl,549506,266,67,2817,2063,154416,101,stack trace,4.18071,497089,259,67,2817,1917,154534,275,4.1764,747077,15564,75,85658,48,154416,16959,748902,15602,117,85666,48,154416,16959,189,157639,3222,189,157639,3222,1491,173846,171400,205.63,312.55,,,,,,,,,,,,,
p102_1,1,p102,copilot,AOI_3,1056979,[Ctrl] + LeftControl,64358,374,67,3017,172,253025,208,stack trace,4.24321,55312,348,67,3017,159,253025,208,4.24294,74487,2328,67,18900,32,253025,2250,75946,2373,108,18975,32,252950,2325,10,195990,93044,10,195990,93044,111,252950,295133,405.85,393.37,,,,,,,,,,,,,
p102_1,1,p102,project structure,AOI_4,1056979,[Ctrl] + LeftControl,517,129,100,150,4,173709,138,stack trace,4.24958,517,129,100,150,4,173709,138,4.24958,517,129,100,150,4,173709,138,546,136,100,158,4,173709,138,0,,,0,,,0,173600,173846,153.09,205.63,,,,,,,,,,,,,
p102_1,1,p102,stack trace,AOI_5,1056979,[Ctrl] + LeftControl,9252,215,67,642,43,500791,133,stack trace,4.26389,7558,199,67,575,38,500791,133,4.26161,12002,923,83,4667,13,500791,333,12581,968,83,4717,13,500724,400,4,477140,320859,4,477140,320859,21,500724,501124,279.58,303.88,,,,,,,,,,,,,
p102_2,2,p102,chat,AOI_1,1022955,e,114049,396,67,5262,288,209243,150,code pane,4.34264,105854,398,67,5262,266,209243,150,4.34431,132708,3318,117,23200,40,209243,742,134175,3354,117,23200,40,209159,825,5,521547,312304,5,521547,312304,198,209159,390650,441.94,242.46,,,,,,,,,,,,,
p102_2,2,p102,code pane,AOI_2,1022955,e,374545,284,18,1725,1320,115959,18,code pane,4.09317,320009,278,67,1725,1153,116160,483,4.09227,553241,14186,75,74991,39,115959,63792,554903,14228,75,74991,39,115959,63792,210,116182,224,210,116182,224,950,390650,179776,242.46,217.29,,,,,,,,,,,,,
p103_1,1,p103,code pane,AOI_2,1052622,Tab,590243,265,24,1767,2226,160653,24,project structure,4.64812,546119,262,67,1767,2085,161610,150,4.64307,799955,27585,108,204783,29,160653,101524,800547,27605,108,204783,29,160653,101524,131,176958,16305,129,176958,16305,1757,262485,262176,208.91,302.71,,,,,,,,,,,,,
p103_1,1,p103,copilot,AOI_3,1052622,Tab,33246,426,83,1958,78,455126,133,project structure,4.5662,27787,397,83,1958,70,455126,133,4.5609,37779,1889,100,13483,20,455126,133,38308,1915,100,13500,20,455117,142,10,663898,208773,8,663898,208773,52,625358,455259,157.8,549.38,,,,,,,,,,,,,
p103_1,1,p103,project structure,AOI_4,1052622,Tab,608,203,175,233,3,1038082,200,project structure,4.67821,408,204,175,233,2,1038924,233,4.77894,608,203,175,233,3,1038082,200,692,231,200,258,3,1038082,200,0,,,0,,,0,1038874,1038307,58.3,90.23,,,,,,,,,,,,,
